171,96,-0.0021,0.0002,100.0,642.61,1598.23,1412.64,21.61,554.06,2388.13,9052.77,47.61,520.98,2388.1,8130.28,8.4597,393,38.77,23.1853
16,267,-0.0011,-0.0,100.0,643.58,1601.3,1424.61,21.61,551.61,2388.2,9104.91,48.03,520.2,2388.2,8170.84,8.5031,396,38.55,23.1172
38,193,0.005,0.0001,100.0,642.77,1587.35,1415.67,21.61,552.71,2388.11,9068.06,47.69,520.76,2388.07,8150.55,8.4421,394,38.69,23.241999999999997
160,10,-0.0007,-0.0003,100.0,642.37,1592.2,1402.29,21.61,553.36,2388.12,9048.97,47.6,521.14,2388.07,8127.45,8.4531,392,38.8,23.2907
117,139,-0.0029,0.0004,100.0,642.23,1578.2,1398.9,21.61,554.38,2388.03,9057.99,47.35,522.26,2388.07,8143.31,8.4434,392,38.95,23.358
1,169,0.0027,0.0005,100.0,643.34,1597.46,1429.09,21.61,551.43,2388.25,9047.75,48.1,519.32,2388.33,8120.62,8.5321,396,38.47,23.0444
74,122,-0.0014,-0.0004,100.0,642.89,1592.26,1406.48,21.61,553.49,2388.09,9063.08,47.43,521.22,2388.11,8137.53,8.4121,394,38.86,23.2729
65,143,-0.0019,-0.0001,100.0,643.04,1596.13,1414.05,21.61,552.07,2388.11,9066.77,47.71,520.95,2388.14,8147.67,8.4458,393,38.69,23.2854
27,229,0.0028,0.0001,100.0,643.35,1589.93,1428.51,21.61,551.78,2388.17,9054.46,47.67,521.53,2388.22,8135.05,8.4753,394,38.59,23.215
53,161,0.0029,0.0001,100.0,642.75,1595.15,1403.99,21.61,553.33,2388.1,9078.76,47.41,521.64,2388.05,8160.76,8.4428,393,38.9,23.3298
102,63,0.0025,-0.0003,100.0,642.52,1583.53,1398.93,21.61,554.83,2388.04,9066.6,47.26,522.63,2387.99,8140.3,8.386000000000001,393,39.22,23.3433
178,1,0.0008,0.0005,100.0,642.04,1584.2,1398.13,21.61,553.96,2388.06,9056.95,47.14,522.24,2388.0,8138.4,8.4207,391,38.96,23.3205
115,86,-0.0009,0.0003,100.0,641.67,1588.86,1403.43,21.6,553.78,2387.98,9066.2,47.31,522.22,2387.96,8151.48,8.4162,392,39.16,23.4124
77,81,0.0,-0.0004,100.0,642.86,1583.48,1410.48,21.61,552.76,2388.12,9060.55,47.83,521.01,2388.09,8136.25,8.4246,393,38.83,23.2744
30,165,-0.004,0.0002,100.0,643.23,1593.42,1414.19,21.61,553.31,2388.11,9104.81,47.77,520.64,2388.07,8182.32,8.4545,394,38.78,23.2019
154,2,0.0025,0.0,100.0,642.13,1585.29,1394.47,21.61,552.75,2388.03,9070.74,47.03,521.8,2388.03,8147.03,8.4158,392,38.91,23.3055
48,117,-0.0031,-0.0003,100.0,642.39,1596.89,1401.99,21.61,553.49,2388.07,9064.48,47.42,521.82,2388.07,8147.94,8.4037,394,38.82,23.3743
35,178,-0.0016,-0.0001,100.0,642.71,1599.94,1421.64,21.61,552.39,2388.07,9103.84,47.79,520.96,2388.14,8175.93,8.4971,395,38.59,23.1945
